seed,delay_slots,inflight_beta,reference_post_cost,method_post_cost,post_excess_pct,redundant_attempt_rate,calendar_delay,detected_fraction
20262004,3,1000000.0,952.054197748566,377.0714620028961,-60.39390794194268,0.0,35.714285714285715,0.875
20262004,5,8.0,2576.758893784653,772.3445846181619,-70.0265094075694,0.6453125,40.875,1.0
20262004,5,16.0,2576.758893784653,750.8231797066869,-70.86172161789246,0.609375,42.5,1.0
20262004,5,32.0,2576.758893784653,751.5935529050382,-70.8318246337311,0.5880208333333333,40.25,1.0
20262004,5,64.0,2576.758893784653,733.6092133974664,-71.5297688438375,0.5854166666666667,38.875,1.0
20262004,5,1000000.0,2576.758893784653,749.6130651949784,-70.90868427763635,0.5854166666666667,36.875,1.0
20262005,1,8.0,184.1007251417522,98.95432552995757,-46.24989909531012,0.043229166666666666,39.2,1.0
20262005,1,16.0,184.1007251417522,98.6005276134986,-46.442075370654265,0.009895833333333333,39.0,1.0
20262005,1,32.0,184.1007251417522,97.24331066076678,-47.17928971442548,0.0015625,36.9,1.0
20262005,1,64.0,184.1007251417522,97.90591854052275,-46.81937376121792,0.0,37.4,1.0
20262005,1,1000000.0,184.1007251417522,97.90591854052275,-46.81937376121792,0.0,37.4,1.0
20262005,3,8.0,902.172579103468,291.03455448674003,-67.74070047928579,0.3958333333333333,43.2,1.0
20262005,3,16.0,902.172579103468,289.1834183227767,-67.94588695988166,0.28177083333333336,40.8,1.0
20262005,3,32.0,902.172579103468,279.2385691936538,-69.04820921611844,0.20520833333333333,37.4,1.0
20262005,3,64.0,902.172579103468,286.8646284037321,-68.20290983696232,0.13489583333333333,34.9,1.0
20262005,3,1000000.0,902.172579103468,299.31124042958163,-66.82328333155266,0.0,35.1,1.0
20262005,5,8.0,2712.3218989130564,682.1524665565164,-74.84987062819188,0.6505208333333333,47.6,1.0
20262005,5,16.0,2712.3218989130564,666.0010848550608,-75.44535237052963,0.6302083333333334,46.3,1.0
20262005,5,32.0,2712.3218989130564,675.1512563970739,-75.10799670689397,0.5864583333333333,44.1,1.0
20262005,5,64.0,2712.3218989130564,693.0885925771154,-74.44666900138712,0.5635416666666667,45.2,1.0
20262005,5,1000000.0,2712.3218989130564,666.4141760521543,-75.43012220196965,0.5677083333333334,42.1,1.0
