seed,profile,forward_mean,feedback_mean,round_trip_mean,round_trip_p95,round_trip_p99,round_trip_max,pa_reduction_vs_sco_pct,pa_reduction_vs_forced_pct,pa_reduction_vs_stopwait_pct,sco_redundant_attempt_rate,pa_redundant_attempt_rate,stopwait_redundant_attempt_rate,sco_stale_arrival_rate,pa_stale_arrival_rate,stopwait_stale_arrival_rate,sco_post_cost,pa_post_cost,stopwait_post_cost,forced_post_cost,pa_calendar_delay,pa_observation_delay
20266002,feedback_heavy,2.0,2.0068069306930694,4.006806930693069,13.0,13.0,13,79.977157634216,79.1284165909553,38.55361998844744,0.770546875,0.311796875,0.072265625,0.0,0.0,0.0,2728.106867993908,546.2445377485474,888.9775730414839,2617.1686500403807,49.44827586206897,7.586206896551724
20266003,fixed,2.0,2.0,4.0,4.0,4.0,4,87.43788845034473,86.53244791082255,12.182243665981302,0.8009375,0.28515625,0.0,0.0,0.0,0.0,2939.920117537206,369.31604463578026,420.54825818035073,2742.2655742505976,45.529411764705884,7.647058823529412
20266003,light_iid,2.000928217821782,2.0070544554455445,4.0079826732673265,6.0,6.0,6,83.74718222372428,82.0815360155623,12.54209880123834,0.781171875,0.344921875,0.098515625,0.11929641239986068,0.02029439944255727,0.0036594928988411607,2390.9006039251412,388.5887183678289,444.31516540135203,2168.649716322342,44.93939393939394,7.454545454545454
20266003,heavy_iid,2.005259900990099,1.9777227722772277,3.9829826732673266,12.0,22.0,22,62.7729530492757,60.88364968487282,58.92462542023547,0.74875,0.3928125,0.0946875,0.06703813337976668,0.07770122961541816,0.01645481455685182,1079.8436999613446,401.99392117904824,978.6737803167532,1027.687700770969,44.833333333333336,7.666666666666667
20266003,lognormal,2.3176361386138615,2.333601485148515,4.651237623762376,14.0,33.0,109,68.87541737863047,66.93350298461652,38.89537102173997,0.78953125,0.455546875,0.209453125,0.08719916288803628,0.05529391243676958,0.029888462879051933,1531.375763333078,476.63431470223213,780.029799169242,1441.441814899499,46.55172413793103,7.482758620689655
20266003,markov_burst,1.9883972772277227,2.0038675742574257,3.9922648514851486,7.0,12.0,12,75.61518323135708,74.01840354338964,52.02349476355886,0.7553125,0.33734375,0.0825,0.061677846502308564,0.02509366559205367,0.004006619632436199,1776.099192532337,433.098533728357,902.7304752481048,1666.9435015343954,45.1764705882353,7.588235294117647
20266003,forward_heavy,2.005259900990099,2.0,4.005259900990099,13.0,13.0,13,76.79035692716054,75.55202226934053,47.22535201855006,0.770859375,0.317265625,0.070234375,0.07159655082309903,0.07079337401918047,0.01637345410207281,1699.0748320485354,394.3492040589115,747.2322775085559,1613.0135932035396,46.94117647058823,7.676470588235294
20266003,feedback_heavy,2.0,1.9777227722772277,3.977722772277228,13.0,13.0,13,80.37540118406353,79.20014213302771,41.81656012391519,0.771796875,0.314375,0.06484375,0.0,0.0,0.0,1993.4124049944046,391.19918722726266,672.3548625870393,1880.7781751645562,45.34375,7.59375
20266004,fixed,2.0,2.0,4.0,4.0,4.0,4,87.37043660557292,86.97754424989284,15.862319991066634,0.799609375,0.2865625,0.0,0.0,0.0,0.0,3341.9471081887286,422.0733286369183,501.64602659843297,3241.1193152523883,48.63636363636363,7.484848484848484
20266004,light_iid,2.000711633663366,2.0031559405940595,4.003867574257426,6.0,6.0,6,83.79769383433064,83.12144727440592,16.428216671797593,0.78078125,0.34390625,0.0990625,0.11778593913955929,0.019804571627988134,0.0029702105355114876,2700.9662898444535,437.6188277121189,523.644237665129,2592.750900072898,48.114285714285714,7.457142857142857
