seed,family,success_probability,delay_slots,capacity,capacity_ratio,method,frozen_inflight_beta,post_cost,total_cost,reference_post_cost,reference_total_cost,post_ratio_to_reference,total_ratio_to_reference,delivery_rate,redundant_attempt_rate,max_inflight_count,detected_fraction,calendar_delay,observation_delay
20261002,delay,0.9,1,4,0.2,sco_reset_ucb,16.0,471.10913376065196,528.0157520456096,442.30075490836214,494.927965424583,1.0651330085526498,1.0668537422261877,0.905625,0.51984375,2,0.8787878787878788,39.93103448275862,7.310344827586207
20261002,delay,0.9,1,4,0.2,ps_forced_reset_ucb,16.0,467.3603300410489,523.1376965068002,442.30075490836214,494.927965424583,1.0566573193796125,1.0569976502702105,0.9053125,0.509375,2,0.8787878787878788,40.827586206896555,7.413793103448276
20261002,delay,0.9,1,4,0.2,inflight_sco_ucb,16.0,195.8030377270854,223.60673915534622,442.30075490836214,494.927965424583,0.44269207220243784,0.4517965335895317,0.90515625,0.003046875,2,0.9090909090909091,40.13333333333333,7.333333333333333
20261002,delay,0.9,3,4,0.2,true,16.0,2386.397354104024,2637.358758604517,2386.397354104024,2637.358758604517,1.0,1.0,0.902421875,0.75140625,4,nan,nan,nan
20261002,delay,0.9,3,4,0.2,sco_reset_ucb,16.0,2566.073477729449,2853.0030523408013,2386.397354104024,2637.358758604517,1.0752917879817565,1.0817652482934808,0.903125,0.752109375,4,0.9090909090909091,40.8,7.466666666666667
20261002,delay,0.9,3,4,0.2,ps_forced_reset_ucb,16.0,2436.6058786371436,2718.903778777251,2386.397354104024,2637.358758604517,1.0210394653877624,1.0309191989548974,0.9025,0.741640625,4,0.9090909090909091,41.1,7.233333333333333
20261002,delay,0.9,3,4,0.2,inflight_sco_ucb,16.0,518.817777127442,603.1419835636195,2386.397354104024,2637.358758604517,0.217406282417805,0.22869167177041735,0.90296875,0.115,4,0.8787878787878788,41.793103448275865,7.379310344827586
20261002,delay,0.9,5,4,0.2,true,16.0,7025.321690517536,7621.70102244629,7025.321690517536,7621.70102244629,1.0,1.0,0.901015625,0.831875,6,nan,nan,nan
20261002,delay,0.9,5,4,0.2,sco_reset_ucb,16.0,7590.383161358768,8272.420880845297,7025.321690517536,7621.70102244629,1.0804321133940282,1.085377248003117,0.90015625,0.831953125,6,0.9090909090909091,46.56666666666667,7.2
20261002,delay,0.9,5,4,0.2,ps_forced_reset_ucb,16.0,7184.4706959695495,7815.145788443877,7025.321690517536,7621.70102244629,1.0226536253374454,1.0253807864449003,0.900234375,0.823125,6,0.8787878787878788,47.206896551724135,7.344827586206897
20261002,delay,0.9,5,4,0.2,inflight_sco_ucb,16.0,1134.3768839359293,1321.6443413456507,7025.321690517536,7621.70102244629,0.16146974244141166,0.1734054297660512,0.90015625,0.4396875,6,0.8787878787878788,42.96551724137931,7.206896551724138
20261002,capacity,0.9,1,2,0.1,true,16.0,2506.5843113103747,2783.2061663297563,2506.5843113103747,2783.2061663297563,1.0,1.0,0.9034375,0.5134375,2,nan,nan,nan
20261002,capacity,0.9,1,2,0.1,sco_reset_ucb,16.0,2763.139685510454,3060.992296237028,2506.5843113103747,2783.2061663297563,1.1023525811768762,1.099807960067001,0.90328125,0.5165625,2,0.8787878787878788,75.0,7.517241379310345
20261002,capacity,0.9,1,2,0.1,ps_forced_reset_ucb,16.0,2687.180983104565,2965.050394253179,2506.5843113103747,2783.2061663297563,1.0720489117319094,1.0653362406721105,0.90375,0.50296875,2,0.9090909090909091,74.56666666666666,7.333333333333333
20261002,capacity,0.9,1,2,0.1,inflight_sco_ucb,16.0,736.3783422188598,826.4831535955028,2506.5843113103747,2783.2061663297563,0.2937776075977676,0.2969536226219975,0.90328125,0.0,1,0.8787878787878788,75.82758620689656,7.344827586206897
