seed,delay_slots,method,inflight_beta,post_excess_pct,total_excess_pct,redundant_attempt_rate,calendar_delay,detected_fraction
20262001,5,sco_reset_ucb,nan,19.252159544774106,13.780341144388697,0.8317708333333333,38.45454545454545,1.0
20262001,5,ps_forced_reset_ucb,nan,2.7678598549902844,5.487568571531232,0.8229166666666666,37.81818181818182,1.0
20262001,5,inflight_sco_ucb,0.0,19.252159544774106,13.780341144388697,0.8317708333333333,38.45454545454545,1.0
20262001,5,inflight_sco_ucb,0.25,-23.69349057943537,-24.451745302023774,0.8026041666666667,36.54545454545455,1.0
20262001,5,inflight_sco_ucb,0.5,-41.564972480625016,-41.00927604673694,0.7807291666666667,33.63636363636363,1.0
20262001,5,inflight_sco_ucb,1.0,-58.86914522900648,-57.70851291983475,0.74375,34.3,0.9090909090909091
20262001,5,inflight_sco_ucb,2.0,-68.96714183872129,-66.70808422985411,0.7067708333333333,35.3,0.9090909090909091
20262001,5,inflight_sco_ucb,4.0,-72.86745528462606,-70.9118643399512,0.6869791666666667,34.2,0.9090909090909091
20262002,1,sco_reset_ucb,nan,8.905845524183885,7.805264134468992,0.5171875,33.888888888888886,1.0
20262002,1,ps_forced_reset_ucb,nan,7.9739694648866095,6.998563592383178,0.5078125,32.77777777777778,1.0
20262002,1,inflight_sco_ucb,0.0,8.905845524183885,7.805264134468992,0.5171875,33.888888888888886,1.0
20262002,1,inflight_sco_ucb,0.25,3.2665365516140303,2.807691710498111,0.5015625,33.44444444444444,1.0
20262002,1,inflight_sco_ucb,0.5,-2.133084087497394,-4.932581464599611,0.46875,35.333333333333336,1.0
20262002,1,inflight_sco_ucb,1.0,-14.051527845194332,-16.09413032733563,0.4088541666666667,33.44444444444444,1.0
20262002,1,inflight_sco_ucb,2.0,-34.107070215087234,-33.810746835516994,0.26614583333333336,35.333333333333336,1.0
20262002,1,inflight_sco_ucb,4.0,-42.724147287149385,-41.49515374262471,0.11614583333333334,36.888888888888886,1.0
20262002,3,sco_reset_ucb,nan,11.151595086452936,10.017740326137869,0.7494791666666667,34.75,0.8888888888888888
