seed,profile,method,inflight_beta,forward_mean,feedback_mean,round_trip_mean,round_trip_p95,round_trip_p99,round_trip_max,post_cost,total_cost,delivery_rate,ack_rate,redundant_attempt_rate,stale_arrival_rate,mean_inflight_per_slot,max_inflight_count,detected_fraction,calendar_delay,observation_delay
20266007,lognormal,pa16,16.0,2.318579826732673,2.3462407178217823,4.6648205445544555,14.0,33.0,83,621.6316836582904,649.7817252525657,0.82046875,0.9940625,0.4315625,0.05596107055961071,22.1009375,8,0.8285714285714286,52.13793103448276,7.379310344827586
20266007,lognormal,stopwait,1000000.0,2.318579826732673,2.3462407178217823,4.6648205445544555,14.0,33.0,83,1008.481357725791,1128.6467122203685,0.8625,0.99375,0.188125,0.0285490469144399,22.1171875,7,0.9142857142857143,44.09375,7.375
20266007,markov_burst,true,,2.0244430693069306,1.981512995049505,4.005956064356436,7.0,12.0,12,914.0618644807641,945.9078713033357,0.812265625,0.995390625,0.621953125,0.08153164886689242,19.8778125,11,nan,nan,nan
20266007,markov_burst,sco,,2.0244430693069306,1.981512995049505,4.005956064356436,7.0,12.0,12,2411.1349615742797,2532.782100015743,0.81390625,0.994375,0.7509375,0.061153578874218205,19.85625,13,0.9428571428571428,49.696969696969695,7.2727272727272725
20266007,markov_burst,forced,,2.0244430693069306,1.981512995049505,4.005956064356436,7.0,12.0,12,2301.0496575686166,2419.728862697987,0.814375,0.99546875,0.743984375,0.06048492222125663,19.83125,13,0.9714285714285714,43.794117647058826,7.0588235294117645
20266007,markov_burst,pa16,16.0,2.0244430693069306,1.981512995049505,4.005956064356436,7.0,12.0,12,564.9817995517526,617.2683750201021,0.866328125,0.995,0.329609375,0.02285962624945676,19.77125,11,0.9428571428571428,48.93939393939394,7.333333333333333
20266007,markov_burst,stopwait,1000000.0,2.0244430693069306,1.981512995049505,4.005956064356436,7.0,12.0,12,1172.830927389697,1259.9179948339772,0.893359375,0.995078125,0.071796875,0.0036543983294179067,19.7971875,7,0.9714285714285714,50.794117647058826,7.205882352941177
20266007,forward_heavy,true,,2.004641089108911,2.0,4.004641089108911,13.0,13.0,13,648.7286793748356,684.6175285972649,0.82125,0.99484375,0.622734375,0.0637391304347826,19.839375,6,nan,nan,nan
20266007,forward_heavy,sco,,2.004641089108911,2.0,4.004641089108911,13.0,13.0,13,2333.082103890192,2428.8811505720137,0.8340625,0.995078125,0.767578125,0.07127955493741307,19.84125,7,0.9428571428571428,44.96969696969697,7.393939393939394
20266007,forward_heavy,forced,,2.004641089108911,2.0,4.004641089108911,13.0,13.0,13,2217.967462961948,2315.490978385078,0.834375,0.99515625,0.761796875,0.07039193534370383,19.8540625,7,0.9142857142857143,44.15625,7.34375
20266007,forward_heavy,pa16,16.0,2.004641089108911,2.0,4.004641089108911,13.0,13.0,13,515.3766384492183,559.836138816823,0.8221875,0.99546875,0.297890625,0.06771557719054241,19.8225,7,0.8857142857142857,47.29032258064516,7.419354838709677
20266007,forward_heavy,stopwait,1000000.0,2.004641089108911,2.0,4.004641089108911,13.0,13.0,13,1090.7656745202528,1144.935089237984,0.880859375,0.995078125,0.064375,0.014351569974776029,19.815625,5,0.9714285714285714,43.88235294117647,7.382352941176471
20266007,feedback_heavy,true,,2.0,2.00990099009901,4.00990099009901,13.0,13.0,13,1436.4329029834837,1489.8756615386483,0.89859375,0.99515625,0.7184375,0.0,20.084375,6,nan,nan,nan
20266007,feedback_heavy,sco,,2.0,2.00990099009901,4.00990099009901,13.0,13.0,13,2740.6146849299494,2872.001252912965,0.899609375,0.994921875,0.7684375,0.0,20.088125,7,0.9428571428571428,47.93939393939394,7.424242424242424
20266007,feedback_heavy,forced,,2.0,2.00990099009901,4.00990099009901,13.0,13.0,13,2640.476332897728,2716.0978732980643,0.89953125,0.995234375,0.76296875,0.0001736714136853074,20.0959375,7,0.9142857142857143,44.0625,7.34375
20266007,feedback_heavy,pa16,16.0,2.0,2.00990099009901,4.00990099009901,13.0,13.0,13,520.5802197447892,563.0587665867644,0.89875,0.994921875,0.30890625,0.0,20.0865625,7,0.9428571428571428,48.81818181818182,7.393939393939394
20266007,feedback_heavy,stopwait,1000000.0,2.0,2.00990099009901,4.00990099009901,13.0,13.0,13,818.3856407046668,899.6602075490806,0.897890625,0.995234375,0.07328125,0.0,20.09875,5,0.9428571428571428,42.24242424242424,7.424242424242424
20266008,fixed,true,,2.0,2.0,4.0,4.0,4.0,4,1027.3059508724411,1119.2096586000478,0.8953125,0.995,0.674296875,0.0,19.95,5,nan,nan,nan
20266008,fixed,sco,,2.0,2.0,4.0,4.0,4.0,4,2859.3937592052307,3163.2068004955404,0.894609375,0.995,0.800078125,0.0,19.95,5,0.95,43.1578947368421,7.5
20266008,fixed,forced,,2.0,2.0,4.0,4.0,4.0,4,2685.382261328228,2967.210562649058,0.89484375,0.995,0.789921875,8.729812309035356e-05,19.95,5,0.9,42.47222222222222,7.472222222222222
20266008,fixed,pa16,16.0,2.0,2.0,4.0,4.0,4.0,4,361.4821991000804,418.44020085578904,0.89421875,0.995,0.268203125,0.0,19.95,5,0.925,43.648648648648646,7.45945945945946
20266008,fixed,stopwait,1000000.0,2.0,2.0,4.0,4.0,4.0,4,407.37846598595615,495.2814828762981,0.895078125,0.995,0.0,0.0,19.95,1,1.0,44.15,7.625
20266008,light_iid,true,,2.001237623762376,1.9999071782178217,4.001144801980198,6.0,6.0,6,891.0336006871887,957.59555314172,0.70234375,0.994921875,0.651484375,0.08799650807507639,19.9771875,5,nan,nan,nan
20266008,light_iid,sco,,2.001237623762376,1.9999071782178217,4.001144801980198,6.0,6.0,6,2384.9010217504238,2593.434029517004,0.674453125,0.995390625,0.78203125,0.11929089162518558,19.960625,7,1.0,43.85,7.3
20266008,light_iid,forced,,2.001237623762376,1.9999071782178217,4.001144801980198,6.0,6.0,6,2243.051406385738,2457.574368753241,0.68125,0.9946875,0.77359375,0.11617749825296995,19.965625,7,0.95,44.23684210526316,7.342105263157895
20266008,light_iid,pa16,16.0,2.001237623762376,1.9999071782178217,4.001144801980198,6.0,6.0,6,376.5275270752053,440.3323581000076,0.8571875,0.99484375,0.33640625,0.018951965065502185,19.9528125,7,0.95,41.921052631578945,7.2894736842105265
20266008,light_iid,stopwait,1000000.0,2.001237623762376,1.9999071782178217,4.001144801980198,6.0,6.0,6,421.69540773880044,510.43175439951267,0.889375,0.994921875,0.096171875,0.002881844380403458,19.9503125,5,0.95,41.44736842105263,7.315789473684211
20266008,heavy_iid,true,,1.994740099009901,1.9952042079207921,3.9899443069306932,12.0,22.0,22,474.84396772531784,519.884689786948,0.818828125,0.9946875,0.67515625,0.06556661428321983,19.861875,7,nan,nan,nan
20266008,heavy_iid,sco,,1.994740099009901,1.9952042079207921,3.9899443069306932,12.0,22.0,22,1061.5685026345093,1177.2947488225018,0.8296875,0.995078125,0.74390625,0.06541484716157205,19.8571875,8,0.95,45.078947368421055,7.552631578947368
20266008,heavy_iid,forced,,1.994740099009901,1.9952042079207921,3.9899443069306932,12.0,22.0,22,1022.3956843593569,1131.06764080277,0.828359375,0.995078125,0.74125,0.06443726534532437,19.861875,7,0.9,44.888888888888886,7.472222222222222
20266008,heavy_iid,pa16,16.0,1.994740099009901,1.9952042079207921,3.9899443069306932,12.0,22.0,22,392.5371828467151,450.3459408361993,0.815234375,0.99453125,0.38546875,0.07604994324631101,19.83125,7,0.875,51.371428571428574,9.685714285714285
20266008,heavy_iid,stopwait,1000000.0,1.994740099009901,1.9952042079207921,3.9899443069306932,12.0,22.0,22,993.656606720094,1198.485928042258,0.877421875,0.99515625,0.095234375,0.014916259595254711,19.91,6,0.925,45.32432432432432,7.513513513513513
20266008,lognormal,true,,2.3247524752475246,2.328697400990099,4.653449876237624,14.0,33.0,125,608.8033040472534,671.1224482599592,0.7521875,0.993984375,0.704921875,0.08011532413070069,22.7478125,7,nan,nan,nan
20266008,lognormal,sco,,2.3247524752475246,2.328697400990099,4.653449876237624,14.0,33.0,125,1472.629483391581,1649.3137392115486,0.73390625,0.99375,0.788671875,0.08878790526959714,22.7684375,9,0.875,49.91428571428571,8.342857142857143
20266008,lognormal,forced,,2.3247524752475246,2.328697400990099,4.653449876237624,14.0,33.0,125,1426.563070854564,1583.6160814309671,0.733828125,0.993828125,0.783828125,0.08994755244755245,22.7121875,9,0.875,46.02857142857143,7.428571428571429
20266008,lognormal,pa16,16.0,2.3247524752475246,2.328697400990099,4.653449876237624,14.0,33.0,125,448.0457628580665,524.8371485241787,0.81171875,0.99390625,0.4525,0.05464719769170237,22.7215625,9,0.875,45.0,7.514285714285714
20266008,lognormal,stopwait,1000000.0,2.3247524752475246,2.328697400990099,4.653449876237624,14.0,33.0,125,794.3749581334657,893.8630083553414,0.855703125,0.9940625,0.213828125,0.03143006809848088,22.63375,7,0.9,45.638888888888886,7.527777777777778
20266008,markov_burst,true,,1.9964418316831682,2.0100556930693068,4.006497524752476,7.0,12.0,12,662.6970234662531,743.1344266858748,0.80484375,0.995390625,0.6275,0.0831297976273552,20.185,13,nan,nan,nan
20266008,markov_burst,sco,,1.9964418316831682,2.0100556930693068,4.006497524752476,7.0,12.0,12,1786.6508862011601,2010.142360269101,0.804140625,0.994921875,0.755234375,0.06677140612725845,20.256875,13,0.95,48.13157894736842,9.421052631578947
20266008,markov_burst,forced,,1.9964418316831682,2.0100556930693068,4.006497524752476,7.0,12.0,12,1724.6771322704385,1931.3764785242113,0.808359375,0.995390625,0.747265625,0.06474694589877836,20.2709375,13,0.925,42.432432432432435,7.513513513513513
20266008,markov_burst,pa16,16.0,1.9964418316831682,2.0100556930693068,4.006497524752476,7.0,12.0,12,431.3067331811999,504.2159047201459,0.8578125,0.995234375,0.337265625,0.024554351625305837,20.215625,13,0.875,43.114285714285714,7.428571428571429
20266008,markov_burst,stopwait,1000000.0,1.9964418316831682,2.0100556930693068,4.006497524752476,7.0,12.0,12,932.2996363119456,1075.503244638043,0.88875,0.995234375,0.0834375,0.004108391608391608,20.2009375,10,0.975,45.41025641025641,7.538461538461538
20266008,forward_heavy,true,,1.994740099009901,2.0,3.994740099009901,13.0,13.0,13,474.84396772531784,519.884689786948,0.818828125,0.995,0.625234375,0.06556661428321983,19.996875,6,nan,nan,nan
20266008,forward_heavy,sco,,1.994740099009901,2.0,3.994740099009901,13.0,13.0,13,1681.4116491392847,1845.6628748147298,0.828828125,0.994921875,0.769296875,0.07126637554585152,20.02,8,0.925,43.83783783783784,7.486486486486487
20266008,forward_heavy,forced,,1.994740099009901,2.0,3.994740099009901,13.0,13.0,13,1600.5504074803628,1777.5635671484065,0.82765625,0.995234375,0.76328125,0.07185262790291601,20.0278125,8,0.85,44.088235294117645,7.176470588235294
20266008,forward_heavy,pa16,16.0,1.994740099009901,2.0,3.994740099009901,13.0,13.0,13,379.71669845683283,440.5384205836482,0.8146875,0.99515625,0.3146875,0.07023060796645703,19.9896875,8,0.9,42.361111111111114,7.5
20266008,forward_heavy,stopwait,1000000.0,1.994740099009901,2.0,3.994740099009901,13.0,13.0,13,742.270897143897,890.9398940148797,0.8746875,0.995,0.0715625,0.017366262326555547,20.050625,5,0.95,44.1578947368421,7.552631578947368
20266008,feedback_heavy,true,,2.0,1.9952042079207921,3.995204207920792,13.0,13.0,13,1027.3059508724411,1119.2096586000478,0.8953125,0.99515625,0.714140625,0.0,19.8190625,6,nan,nan,nan
20266008,feedback_heavy,sco,,2.0,1.9952042079207921,3.995204207920792,13.0,13.0,13,1974.2589131122709,2173.5492739497877,0.89484375,0.995078125,0.7696875,0.0,19.7709375,7,0.95,45.73684210526316,7.552631578947368
20266008,feedback_heavy,forced,,2.0,1.9952042079207921,3.995204207920792,13.0,13.0,13,1865.1200156095128,2076.634461064705,0.89453125,0.994921875,0.763671875,8.732861758798358e-05,19.7825,7,0.9,42.388888888888886,7.361111111111111
20266008,feedback_heavy,pa16,16.0,2.0,1.9952042079207921,3.995204207920792,13.0,13.0,13,380.7826517244557,440.837648080518,0.895078125,0.9946875,0.3003125,0.0,19.75375,7,0.85,44.85294117647059,7.5
20266008,feedback_heavy,stopwait,1000000.0,2.0,1.9952042079207921,3.995204207920792,13.0,13.0,13,597.0405066986118,736.825944797815,0.894375,0.995234375,0.06234375,0.0,19.823125,5,0.95,43.526315789473685,7.473684210526316
20266009,fixed,true,,2.0,2.0,4.0,4.0,4.0,4,1455.4116096525813,1418.6504120150048,0.901328125,0.995,0.67421875,0.0,19.95,5,nan,nan,nan
20266009,fixed,sco,,2.0,2.0,4.0,4.0,4.0,4,4127.254222410045,4021.581982184972,0.900625,0.995,0.80078125,0.0,19.95,5,1.0,45.59375,7.4375
20266009,fixed,forced,,2.0,2.0,4.0,4.0,4.0,4,3763.7478097988796,3715.5301991132746,0.90015625,0.995,0.7896875,0.00034704147145583897,19.95,5,0.9375,46.166666666666664,7.433333333333334
20266009,fixed,pa16,16.0,2.0,2.0,4.0,4.0,4.0,4,491.20584933548906,496.17267537898124,0.899921875,0.995,0.25640625,0.0,19.95,5,1.0,46.4375,7.53125
20266009,fixed,stopwait,1000000.0,2.0,2.0,4.0,4.0,4.0,4,519.3356754213767,547.7084264841087,0.89921875,0.995,0.0,0.0,19.95,1,0.96875,42.774193548387096,7.516129032258065
20266009,light_iid,true,,1.994430693069307,2.0020111386138613,3.9964418316831685,6.0,6.0,6,1234.4476204840466,1204.8097435324516,0.706328125,0.995,0.649453125,0.08931820150740709,19.943125,6,nan,nan,nan
