success_probability,delay_slots,capacity,capacity_ratio,method,post_change_slot,independent_seeds,cumulative_excess_pct_mean,cumulative_excess_pct_ci_low,cumulative_excess_pct_ci_high
0.9,1,2,0.1,sco_reset_ucb,360,12,11.661993786636666,10.286536042179396,13.037451531093936
0.9,1,2,0.1,sco_reset_ucb,370,12,11.406347367913154,10.03835131804127,12.774343417785039
0.9,1,2,0.1,sco_reset_ucb,380,12,11.18460921314747,9.767180970315122,12.602037455979817
0.9,1,2,0.1,sco_reset_ucb,390,12,11.11923193304817,9.69832807377353,12.54013579232281
0.9,1,2,0.1,sco_reset_ucb,400,12,10.954581994648942,9.53851541514854,12.370648574149344
0.9,1,2,0.1,ps_forced_reset_ucb,10,12,31.107337435493672,22.327778991653602,39.88689587933374
0.9,1,2,0.1,ps_forced_reset_ucb,20,12,25.28263339288451,18.699215189678647,31.866051596090372
0.9,1,2,0.1,ps_forced_reset_ucb,30,12,23.955739408901213,18.599158101920217,29.31232071588221
0.9,1,2,0.1,ps_forced_reset_ucb,40,12,24.783519854848915,19.713639311671745,29.853400398026086
0.9,1,2,0.1,ps_forced_reset_ucb,50,12,24.8920921252946,19.988786881304954,29.795397369284245
0.9,1,2,0.1,ps_forced_reset_ucb,60,12,23.19958443496209,18.521499741944822,27.87766912797936
0.9,1,2,0.1,ps_forced_reset_ucb,70,12,21.223272012972664,17.131766455292492,25.314777570652836
0.9,1,2,0.1,ps_forced_reset_ucb,80,12,19.764401745694485,15.933674459429048,23.59512903195992
0.9,1,2,0.1,ps_forced_reset_ucb,90,12,18.8527771075816,15.22455581449033,22.480998400672867
0.9,1,2,0.1,ps_forced_reset_ucb,100,12,18.00835736585542,14.613831578765858,21.402883152944984
0.9,1,2,0.1,ps_forced_reset_ucb,110,12,17.38511693241617,14.233994286406002,20.53623957842634
0.9,1,2,0.1,ps_forced_reset_ucb,120,12,16.126119260014224,13.348817397737324,18.903421122291125
0.9,1,2,0.1,ps_forced_reset_ucb,130,12,15.431083809747099,12.959084685040406,17.903082934453792
0.9,1,2,0.1,ps_forced_reset_ucb,140,12,15.08670573666914,12.710073158631715,17.463338314706565
0.9,1,2,0.1,ps_forced_reset_ucb,150,12,14.320295339900623,12.058378134171072,16.582212545630174
0.9,1,2,0.1,ps_forced_reset_ucb,160,12,13.81294034534043,11.581437013540993,16.044443677139867
0.9,1,2,0.1,ps_forced_reset_ucb,170,12,12.815712017445366,10.438043694974073,15.193380339916658
0.9,1,2,0.1,ps_forced_reset_ucb,180,12,12.173947071802589,9.997568202130122,14.350325941475056
0.9,1,2,0.1,ps_forced_reset_ucb,190,12,11.905036602729767,9.765029762372194,14.04504344308734
0.9,1,2,0.1,ps_forced_reset_ucb,200,12,11.680221596276398,9.465650068166617,13.89479312438618
0.9,1,2,0.1,ps_forced_reset_ucb,210,12,10.94724478501148,8.7987261666315,13.095763403391459
0.9,1,2,0.1,ps_forced_reset_ucb,220,12,10.531854817058154,8.595180812491305,12.468528821625002
0.9,1,2,0.1,ps_forced_reset_ucb,230,12,10.195599133115225,8.311775981977128,12.079422284253322
